date,open,high,low,close,volume,dividends,stock_splits,capital_gains
2025-12-01 00:00:00+05:30,250.1,250.75,248.86,250.28,3865446.0,0.0,0.0,
2025-12-02 00:00:00+05:30,250.0,251.45,248.87,250.17,8535708.0,0.0,0.0,
2025-12-03 00:00:00+05:30,250.6,257.13,250.55,254.69,17215454.0,0.0,0.0,
2025-12-04 00:00:00+05:30,256.0,258.8,255.5,256.93,10687381.0,0.0,0.0,
2025-12-05 00:00:00+05:30,258.2,261.1,257.7,259.91,7886562.0,0.0,0.0,
2025-12-08 00:00:00+05:30,260.01,263.07,259.71,261.38,9684253.0,0.0,0.0,
2025-12-09 00:00:00+05:30,261.38,261.82,257.05,257.41,8560580.0,0.0,0.0,
2025-12-10 00:00:00+05:30,258.01,260.37,257.25,257.98,7944200.0,0.0,0.0,
2025-12-11 00:00:00+05:30,258.31,259.98,257.72,259.25,6473376.0,0.0,0.0,
2025-12-12 00:00:00+05:30,259.5,260.82,257.36,260.6,4008271.0,0.0,0.0,
2025-12-15 00:00:00+05:30,259.99,262.5,258.54,261.74,4023911.0,0.0,0.0,
2025-12-16 00:00:00+05:30,261.74,261.75,258.8,259.22,2982041.0,0.0,0.0,
2025-12-17 00:00:00+05:30,259.0,262.13,258.31,261.14,4923276.0,0.0,0.0,
2025-12-18 00:00:00+05:30,261.18,264.99,261.0,263.85,9008412.0,0.0,0.0,
2025-12-19 00:00:00+05:30,267.0,267.0,263.3,264.45,12750745.0,0.0,0.0,
2025-12-22 00:00:00+05:30,267.51,273.1,266.8,272.67,14651313.0,0.0,0.0,
2025-12-23 00:00:00+05:30,272.0,272.48,270.21,271.4,7572420.0,0.0,0.0,
2025-12-24 00:00:00+05:30,270.94,270.98,267.2,268.06,4694861.0,0.0,0.0,
2025-12-26 00:00:00+05:30,267.2,268.88,265.74,266.3,2899112.0,0.0,0.0,
2025-12-29 00:00:00+05:30,265.99,267.39,263.6,264.24,3754958.0,0.0,0.0,
