username,date,segment,exchange,symbol,scrip_name,holding_quantity,avg_price,holding_amount,open_price,open_amount,high_price,high_amount,low_price,low_amount,close_price,close_amount
deepshikhapatel,2019-11-27,EQ,NSE,ICICIB22,ICICIPRAMC - BHARATIWIN,1.0,34.98,34.98,35.45,35.45,35.45,35.45,34.81,34.81,34.98,34.98
deepshikhapatel,2019-11-28,EQ,NSE,ICICIB22,ICICIPRAMC - BHARATIWIN,1.0,34.98,34.98,34.81,34.81,35.34,35.34,34.81,34.81,35.3,35.3
deepshikhapatel,2019-11-29,EQ,NSE,ICICIB22,ICICIPRAMC - BHARATIWIN,1.0,34.98,34.98,35.35,35.35,35.39,35.39,34.99,34.99,35.05,35.05
deepshikhapatel,2019-11-30,EQ,NSE,ICICIB22,ICICIPRAMC - BHARATIWIN,1.0,34.98,34.98,35.35,35.35,35.39,35.39,34.99,34.99,35.05,35.05
deepshikhapatel,2019-12-01,EQ,NSE,ICICIB22,ICICIPRAMC - BHARATIWIN,1.0,34.98,34.98,35.35,35.35,35.39,35.39,34.99,34.99,35.05,35.05
deepshikhapatel,2019-12-02,EQ,NSE,ICICIB22,ICICIPRAMC - BHARATIWIN,1.0,34.98,34.98,35.35,35.35,35.39,35.39,34.99,34.99,35.05,35.05
deepshikhapatel,2019-12-03,EQ,NSE,ICICIB22,ICICIPRAMC - BHARATIWIN,1.0,34.98,34.98,35.35,35.35,35.39,35.39,34.99,34.99,35.05,35.05
deepshikhapatel,2019-12-04,EQ,NSE,ICICIB22,ICICIPRAMC - BHARATIWIN,1.0,34.98,34.98,35.35,35.35,35.39,35.39,34.99,34.99,35.05,35.05
deepshikhapatel,2019-12-05,EQ,NSE,ICICIB22,ICICIPRAMC - BHARATIWIN,1.0,34.98,34.98,35.35,35.35,35.39,35.39,34.99,34.99,35.05,35.05
deepshikhapatel,2019-12-06,EQ,NSE,ICICIB22,ICICIPRAMC - BHARATIWIN,1.0,34.98,34.98,35.35,35.35,35.39,35.39,34.99,34.99,35.05,35.05
