segment,exchange,symbol,min_date,max_date,isin
EQ,NSE,ADANIPORTS,2022-04-25,2024-04-08,INE742F01042
EQ,NSE,AWL,2022-02-07,2022-02-10,INE699H01024
EQ,NSE,BAJAJHFL,2024-09-13,2024-09-13,INE377Y01014
EQ,NSE,BANKBARODA,2021-10-28,2021-11-08,INE028A01039
EQ,NSE,BCG,2021-12-22,2022-03-16,INE425B01027
EQ,NSE,BECTORFOOD,2020-12-23,2020-12-24,INE495P01020
EQ,NSE,BHAGERIA,2020-05-05,2020-06-15,INE354C01027
EQ,NSE,BPCL,2021-08-06,2022-08-10,INE029A01011
EQ,NSE,CAMPUS,2022-05-09,2022-07-06,INE278Y01022
EQ,NSE,CARTRADE,2021-08-17,2021-09-08,INE290S01011
EQ,NSE,CRSL,2021-12-30,2024-01-19,INE716D01033
EQ,NSE,CTL,2021-11-24,2024-07-04,INE172D01021
EQ,NSE,DATAPATTNS,2021-12-24,2022-08-12,INE0IX101010
EQ,NSE,DEEPAKNTR,2024-06-21,2024-06-21,INE288B01029
EQ,NSE,ETERNAL,2022-01-24,2022-02-16,INE758T01015
EQ,NSE,EXIDEIND,2021-12-22,2021-12-22,INE302A01020
EQ,NSE,FCSSOFT,2022-01-05,2022-01-31,INE512B01022
EQ,NSE,GITARENEW,2022-01-03,2022-01-03,INE776O01018
EQ,NSE,GOLDBEES,2021-02-09,2021-06-04,INF204KB17I5
EQ,NSE,GRAVITA,2022-02-01,2022-02-01,INE024L01027
EQ,NSE,GREENPOWER,2021-11-29,2023-11-20,INE999K01014
EQ,NSE,HAPPSTMNDS,2020-09-16,2020-09-17,INE419U01012
EQ,NSE,HERANBA,2021-03-04,2021-03-09,INE694N01015
EQ,NSE,HFCL,2021-12-15,2022-02-01,INE548A01028
EQ,NSE,ICICIB22,2019-11-27,2024-08-02,INF109KB15Y7
EQ,NSE,IDEA,2020-07-29,2024-01-01,INE669E01016
EQ,NSE,IDFCFIRSTB,2024-06-21,2024-06-21,INE092T01019
EQ,NSE,INFY,2021-04-12,2021-06-14,INE009A01021
EQ,NSE,IRCTC,2024-06-04,2024-06-04,INE335Y01020
EQ,NSE,IRFC,2024-03-07,2024-04-09,INE053F01010
EQ,NSE,ITC,2024-04-12,2024-06-28,INE154A01025
EQ,NSE,JPPOWER,2021-12-20,2022-05-25,INE351F01018
EQ,NSE,KNRCON,2024-06-21,2024-06-21,INE634I01029
EQ,NSE,KPEL,2021-12-27,2024-02-12,INE127T01021
EQ,NSE,KPITTECH,2021-12-31,2024-06-13,INE04I401011
EQ,NSE,LICI,2022-05-13,2022-08-10,INE0J1Y01017
EQ,NSE,LLOYDSENGG,2021-11-15,2024-01-25,INE093R01011
EQ,NSE,NIFTYBEES,2021-02-09,2021-06-14,INF204KB14I2
EQ,NSE,PNB,2020-07-29,2021-12-23,INE160A01022
EQ,NSE,PRAKASHSTL,2021-12-21,2023-11-23,INE696K01024
EQ,NSE,RAGHUSYN,2022-02-16,2022-02-16,INE969C01022
EQ,NSE,RPOWER,2022-01-11,2022-02-21,INE614G01033
EQ,NSE,RTNINDIA,2021-12-27,2022-01-25,INE834M01019
EQ,NSE,RTNPOWER,2021-12-29,2024-07-04,INE399K01017
EQ,NSE,SBICARD,2020-03-16,2020-07-17,INE018E01016
EQ,NSE,SBIN,2020-01-10,2021-06-04,INE062A01020
EQ,NSE,SUZLON,2021-12-21,2022-10-04,INE040H01021
EQ,NSE,SYNCOMF,2024-03-07,2024-08-05,INE312C01025
EQ,NSE,TATACHEM,2021-06-15,2022-08-10,INE092A01019
EQ,NSE,TATAPOWER,2021-02-08,2024-04-08,INE245A01021
EQ,NSE,TCS,2022-08-23,2024-04-08,INE467B01029
EQ,NSE,TMCV,2025-10-14,2025-11-12,INE1TAE01010
EQ,NSE,TMPV,2020-04-21,2025-10-15,INE155A01022
EQ,NSE,TRIDENT,2021-12-10,2022-01-21,INE064C01022
EQ,NSE,TTML,2021-11-26,2022-05-06,INE517B01013
EQ,NSE,UNITDSPR,2024-11-19,2024-11-19,INE854D01024
EQ,NSE,URJA,2021-12-27,2024-03-13,INE550C01020
EQ,NSE,VIJIFIN,2021-12-31,2022-01-10,INE159N01027
EQ,NSE,VIKASLIFE,2022-01-05,2022-01-31,INE161L01027
EQ,NSE,VIRTUALG,2021-11-26,2022-06-03,INE247C01023
EQ,NSE,VOLTAS,2021-06-15,2022-08-10,INE226A01021
EQ,NSE,WIPRO,2022-01-24,2022-06-07,INE075A01022
EQ,NSE,YAMNINV,2021-11-25,2022-02-08,INE457N01025
EQ,NSE,YESBANK,2020-07-27,2021-11-10,INE528G01035
MF,BMF,DSP_ELSS_TAX_SAVER_FUND_DIRECT_PLAN_GROWTH,2024-04-05,2024-08-26,INF740K01OK1
MF,BMF,HDFC_INDEX_FUNDNIFTY_50_PLAN_DIRECT_PLAN,2021-07-13,2024-08-26,INF179K01WM1
MF,BMF,JIOBLACKROCK_NIFTY_50_INDEX_FUND_DIRECT_GROWTH,2025-10-06,2025-10-06,INF22M001044
MF,BMF,JIOBLACKROCK_NIFTY_NEXT_50_INDEX_FUND_DIRECT_GROWTH,2025-10-06,2025-10-06,INF22M001085
MF,BMF,MIRAE_ASSET_ELSS_TAX_SAVER_FUND_DIRECT_PLAN_GROWTH,2024-05-24,2025-12-02,INF769K01DM9
MF,BMF,SBI_LONG_TERM_EQUITY_FUND_DIRECT_PLAN_GROWTH,2024-05-24,2025-12-02,INF200K01UM9
